WaitType,Time,MillisecondsWaiting
Latch,2018-01-13T11:00:00Z,421754
Lock,2018-01-13T11:00:00Z,130484
Memory,2018-01-13T11:00:00Z,27906
Network IO,2018-01-13T11:00:00Z,97
OTHER,2018-01-13T11:00:00Z,51593702
Other Disk IO,2018-01-13T11:00:00Z,182195
Parallelism,2018-01-13T11:00:00Z,4610877
Preemptive,2018-01-13T11:00:00Z,46574
Replication,2018-01-13T11:00:00Z,0
SQL CLR,2018-01-13T11:00:00Z,0
Service Broker,2018-01-13T11:00:00Z,0
Tracing,2018-01-13T11:00:00Z,709
Tran Log IO,2018-01-13T11:00:00Z,1232546
Transaction,2018-01-13T11:00:00Z,0
Worker Thread,2018-01-13T11:00:00Z,6
Buffer IO,2018-01-13T12:00:00Z,356968
Buffer Latch,2018-01-13T12:00:00Z,24104
CPU,2018-01-13T12:00:00Z,1561355
Latch,2018-01-13T12:00:00Z,601852
Lock,2018-01-13T12:00:00Z,105996
Memory,2018-01-13T12:00:00Z,18547
Network IO,2018-01-13T12:00:00Z,72
OTHER,2018-01-13T12:00:00Z,48599731
Other Disk IO,2018-01-13T12:00:00Z,37923
Parallelism,2018-01-13T12:00:00Z,821110
Preemptive,2018-01-13T12:00:00Z,37490
Replication,2018-01-13T12:00:00Z,0
SQL CLR,2018-01-13T12:00:00Z,0
Service Broker,2018-01-13T12:00:00Z,0
Tracing,2018-01-13T12:00:00Z,233
Tran Log IO,2018-01-13T12:00:00Z,2155739
Transaction,2018-01-13T12:00:00Z,0
Worker Thread,2018-01-13T12:00:00Z,0
Buffer IO,2018-01-13T13:00:00Z,352540
Buffer Latch,2018-01-13T13:00:00Z,17428
CPU,2018-01-13T13:00:00Z,2133555
Latch,2018-01-13T13:00:00Z,735068
Lock,2018-01-13T13:00:00Z,169143
Memory,2018-01-13T13:00:00Z,23538
Network IO,2018-01-13T13:00:00Z,77
OTHER,2018-01-13T13:00:00Z,50011832
Other Disk IO,2018-01-13T13:00:00Z,374873
Parallelism,2018-01-13T13:00:00Z,1147869
Preemptive,2018-01-13T13:00:00Z,55280
Replication,2018-01-13T13:00:00Z,0
SQL CLR,2018-01-13T13:00:00Z,0
Service Broker,2018-01-13T13:00:00Z,0
Tracing,2018-01-13T13:00:00Z,234
Tran Log IO,2018-01-13T13:00:00Z,1816003
Transaction,2018-01-13T13:00:00Z,0
Worker Thread,2018-01-13T13:00:00Z,0
Buffer IO,2018-01-13T14:00:00Z,325759
Buffer Latch,2018-01-13T14:00:00Z,15222
CPU,2018-01-13T14:00:00Z,1813479
Latch,2018-01-13T14:00:00Z,260948
Lock,2018-01-13T14:00:00Z,287602
Memory,2018-01-13T14:00:00Z,14673
Network IO,2018-01-13T14:00:00Z,151
OTHER,2018-01-13T14:00:00Z,49936959
Other Disk IO,2018-01-13T14:00:00Z,80394
Parallelism,2018-01-13T14:00:00Z,798037
Preemptive,2018-01-13T14:00:00Z,55685
Replication,2018-01-13T14:00:00Z,0
SQL CLR,2018-01-13T14:00:00Z,0
Service Broker,2018-01-13T14:00:00Z,0
Tracing,2018-01-13T14:00:00Z,108
Tran Log IO,2018-01-13T14:00:00Z,2674604
Transaction,2018-01-13T14:00:00Z,0
Worker Thread,2018-01-13T14:00:00Z,253
Buffer IO,2018-01-13T15:00:00Z,73261
Buffer Latch,2018-01-13T15:00:00Z,10648
CPU,2018-01-13T15:00:00Z,1861375
Latch,2018-01-13T15:00:00Z,903
Lock,2018-01-13T15:00:00Z,331132
Memory,2018-01-13T15:00:00Z,46153
Network IO,2018-01-13T15:00:00Z,116
OTHER,2018-01-13T15:00:00Z,51055270
Other Disk IO,2018-01-13T15:00:00Z,18560
Parallelism,2018-01-13T15:00:00Z,1182454
Preemptive,2018-01-13T15:00:00Z,70521
Replication,2018-01-13T15:00:00Z,0
SQL CLR,2018-01-13T15:00:00Z,0
Service Broker,2018-01-13T15:00:00Z,0
Tracing,2018-01-13T15:00:00Z,243
Tran Log IO,2018-01-13T15:00:00Z,728104
Transaction,2018-01-13T15:00:00Z,0
Worker Thread,2018-01-13T15:00:00Z,0
Buffer IO,2018-01-13T16:00:00Z,226591
Buffer Latch,2018-01-13T16:00:00Z,7637
CPU,2018-01-13T16:00:00Z,2296887
Latch,2018-01-13T16:00:00Z,211363
Lock,2018-01-13T16:00:00Z,380031
Memory,2018-01-13T16:00:00Z,21022
Network IO,2018-01-13T16:00:00Z,45
OTHER,2018-01-13T16:00:00Z,48953002
Other Disk IO,2018-01-13T16:00:00Z,16637
Parallelism,2018-01-13T16:00:00Z,857889
Preemptive,2018-01-13T16:00:00Z,51588
Replication,2018-01-13T16:00:00Z,0
SQL CLR,2018-01-13T16:00:00Z,0
Service Broker,2018-01-13T16:00:00Z,0
Tracing,2018-01-13T16:00:00Z,131
Tran Log IO,2018-01-13T16:00:00Z,1682194
Transaction,2018-01-13T16:00:00Z,0
Worker Thread,2018-01-13T16:00:00Z,54
Buffer IO,2018-01-13T17:00:00Z,149243
Buffer Latch,2018-01-13T17:00:00Z,14414
CPU,2018-01-13T17:00:00Z,2339014
Latch,2018-01-13T17:00:00Z,323794
Lock,2018-01-13T17:00:00Z,439400
Memory,2018-01-13T17:00:00Z,52482
Network IO,2018-01-13T17:00:00Z,183
OTHER,2018-01-13T17:00:00Z,49190118
Other Disk IO,2018-01-13T17:00:00Z,19271
Parallelism,2018-01-13T17:00:00Z,1154822
Preemptive,2018-01-13T17:00:00Z,57660
Replication,2018-01-13T17:00:00Z,0
SQL CLR,2018-01-13T17:00:00Z,0
Service Broker,2018-01-13T17:00:00Z,0
Tracing,2018-01-13T17:00:00Z,295
Tran Log IO,2018-01-13T17:00:00Z,1550368
Transaction,2018-01-13T17:00:00Z,0
Worker Thread,2018-01-13T17:00:00Z,2
Buffer IO,2018-01-13T18:00:00Z,154845
Buffer Latch,2018-01-13T18:00:00Z,19571
CPU,2018-01-13T18:00:00Z,1982466
Latch,2018-01-13T18:00:00Z,235815
Lock,2018-01-13T18:00:00Z,369297
Memory,2018-01-13T18:00:00Z,20598
Network IO,2018-01-13T18:00:00Z,147
OTHER,2018-01-13T18:00:00Z,48279907
Other Disk IO,2018-01-13T18:00:00Z,28880
Parallelism,2018-01-13T18:00:00Z,876473
Preemptive,2018-01-13T18:00:00Z,47727
Replication,2018-01-13T18:00:00Z,0
SQL CLR,2018-01-13T18:00:00Z,0
Service Broker,2018-01-13T18:00:00Z,0
Tracing,2018-01-13T18:00:00Z,288
Tran Log IO,2018-01-13T18:00:00Z,2147686
Transaction,2018-01-13T18:00:00Z,0
Worker Thread,2018-01-13T18:00:00Z,14
Buffer IO,2018-01-13T19:00:00Z,105829
Buffer Latch,2018-01-13T19:00:00Z,8175
CPU,2018-01-13T19:00:00Z,2361973
Latch,2018-01-13T19:00:00Z,5741
Lock,2018-01-13T19:00:00Z,161742
Memory,2018-01-13T19:00:00Z,56848
Network IO,2018-01-13T19:00:00Z,53
OTHER,2018-01-13T19:00:00Z,52489262
Other Disk IO,2018-01-13T19:00:00Z,19906
Parallelism,2018-01-13T19:00:00Z,1272321
Preemptive,2018-01-13T19:00:00Z,37585
Replication,2018-01-13T19:00:00Z,0
SQL CLR,2018-01-13T19:00:00Z,0
Service Broker,2018-01-13T19:00:00Z,0
Tracing,2018-01-13T19:00:00Z,597
Tran Log IO,2018-01-13T19:00:00Z,627404
Transaction,2018-01-13T19:00:00Z,0
Worker Thread,2018-01-13T19:00:00Z,3
Buffer IO,2018-01-13T20:00:00Z,207208
Buffer Latch,2018-01-13T20:00:00Z,12169
CPU,2018-01-13T20:00:00Z,2306513
Latch,2018-01-13T20:00:00Z,412058
Lock,2018-01-13T20:00:00Z,293958
Memory,2018-01-13T20:00:00Z,17045
Network IO,2018-01-13T20:00:00Z,30
OTHER,2018-01-13T20:00:00Z,49278418
Other Disk IO,2018-01-13T20:00:00Z,25475
Parallelism,2018-01-13T20:00:00Z,906061
Preemptive,2018-01-13T20:00:00Z,41380
Replication,2018-01-13T20:00:00Z,0
SQL CLR,2018-01-13T20:00:00Z,0
Service Broker,2018-01-13T20:00:00Z,0
Tracing,2018-01-13T20:00:00Z,597
Tran Log IO,2018-01-13T20:00:00Z,1501767
Transaction,2018-01-13T20:00:00Z,0
Worker Thread,2018-01-13T20:00:00Z,114
Buffer IO,2018-01-13T21:00:00Z,277421
Buffer Latch,2018-01-13T21:00:00Z,10041
