WaitType,Time,MillisecondsWaiting
SQL CLR,2018-02-11T03:00:00Z,0
Service Broker,2018-02-11T03:00:00Z,0
Tracing,2018-02-11T03:00:00Z,78
Tran Log IO,2018-02-11T03:00:00Z,1423700
Transaction,2018-02-11T03:00:00Z,0
Worker Thread,2018-02-11T03:00:00Z,125
Buffer IO,2018-02-11T04:00:00Z,225413
Buffer Latch,2018-02-11T04:00:00Z,89625
CPU,2018-02-11T04:00:00Z,3794525
Latch,2018-02-11T04:00:00Z,7097
Lock,2018-02-11T04:00:00Z,2520558
Memory,2018-02-11T04:00:00Z,34691
Network IO,2018-02-11T04:00:00Z,61
OTHER,2018-02-11T04:00:00Z,21064010
Other Disk IO,2018-02-11T04:00:00Z,16158
Parallelism,2018-02-11T04:00:00Z,1515047
Preemptive,2018-02-11T04:00:00Z,46326
Replication,2018-02-11T04:00:00Z,0
SQL CLR,2018-02-11T04:00:00Z,0
Service Broker,2018-02-11T04:00:00Z,0
Tracing,2018-02-11T04:00:00Z,133
Tran Log IO,2018-02-11T04:00:00Z,1535832
Transaction,2018-02-11T04:00:00Z,0
Worker Thread,2018-02-11T04:00:00Z,168
Buffer IO,2018-02-11T05:00:00Z,694295
Buffer Latch,2018-02-11T05:00:00Z,110226
CPU,2018-02-11T05:00:00Z,3975009
Latch,2018-02-11T05:00:00Z,4945
Lock,2018-02-11T05:00:00Z,1368911
Memory,2018-02-11T05:00:00Z,36516
Network IO,2018-02-11T05:00:00Z,19
OTHER,2018-02-11T05:00:00Z,21732913
Other Disk IO,2018-02-11T05:00:00Z,139166
Parallelism,2018-02-11T05:00:00Z,1587786
Preemptive,2018-02-11T05:00:00Z,51745
Replication,2018-02-11T05:00:00Z,0
SQL CLR,2018-02-11T05:00:00Z,0
Service Broker,2018-02-11T05:00:00Z,0
Tracing,2018-02-11T05:00:00Z,267
Tran Log IO,2018-02-11T05:00:00Z,2253360
Transaction,2018-02-11T05:00:00Z,0
Worker Thread,2018-02-11T05:00:00Z,33
Buffer IO,2018-02-11T06:00:00Z,407912
Buffer Latch,2018-02-11T06:00:00Z,59859
CPU,2018-02-11T06:00:00Z,3866990
Latch,2018-02-11T06:00:00Z,673
Lock,2018-02-11T06:00:00Z,1149120
Memory,2018-02-11T06:00:00Z,34729
Network IO,2018-02-11T06:00:00Z,76
OTHER,2018-02-11T06:00:00Z,21532024
Other Disk IO,2018-02-11T06:00:00Z,13235
Parallelism,2018-02-11T06:00:00Z,1722432
Preemptive,2018-02-11T06:00:00Z,51793
Replication,2018-02-11T06:00:00Z,0
SQL CLR,2018-02-11T06:00:00Z,0
Service Broker,2018-02-11T06:00:00Z,0
Tracing,2018-02-11T06:00:00Z,305
Tran Log IO,2018-02-11T06:00:00Z,1735458
Transaction,2018-02-11T06:00:00Z,0
Worker Thread,2018-02-11T06:00:00Z,0
Buffer IO,2018-02-11T07:00:00Z,593354
Buffer Latch,2018-02-11T07:00:00Z,128968
CPU,2018-02-11T07:00:00Z,4149947
Latch,2018-02-11T07:00:00Z,1720
Lock,2018-02-11T07:00:00Z,1190626
Memory,2018-02-11T07:00:00Z,36259
Network IO,2018-02-11T07:00:00Z,69
OTHER,2018-02-11T07:00:00Z,24434462
Other Disk IO,2018-02-11T07:00:00Z,125311
Parallelism,2018-02-11T07:00:00Z,1883689
Preemptive,2018-02-11T07:00:00Z,60747
Replication,2018-02-11T07:00:00Z,0
SQL CLR,2018-02-11T07:00:00Z,0
Service Broker,2018-02-11T07:00:00Z,0
Tracing,2018-02-11T07:00:00Z,558
Tran Log IO,2018-02-11T07:00:00Z,2591299
Transaction,2018-02-11T07:00:00Z,0
Worker Thread,2018-02-11T07:00:00Z,90
Buffer IO,2018-02-11T08:00:00Z,256873
Buffer Latch,2018-02-11T08:00:00Z,173759
CPU,2018-02-11T08:00:00Z,4310609
Latch,2018-02-11T08:00:00Z,1005
Lock,2018-02-11T08:00:00Z,1610302
Memory,2018-02-11T08:00:00Z,38370
Network IO,2018-02-11T08:00:00Z,141
OTHER,2018-02-11T08:00:00Z,25612027
Other Disk IO,2018-02-11T08:00:00Z,6200
Parallelism,2018-02-11T08:00:00Z,2009729
Preemptive,2018-02-11T08:00:00Z,71212
Replication,2018-02-11T08:00:00Z,0
SQL CLR,2018-02-11T08:00:00Z,0
Service Broker,2018-02-11T08:00:00Z,0
Tracing,2018-02-11T08:00:00Z,411
Tran Log IO,2018-02-11T08:00:00Z,1901504
Transaction,2018-02-11T08:00:00Z,0
Worker Thread,2018-02-11T08:00:00Z,0
Buffer IO,2018-02-11T09:00:00Z,387672
Buffer Latch,2018-02-11T09:00:00Z,128929
CPU,2018-02-11T09:00:00Z,4244535
Latch,2018-02-11T09:00:00Z,210
Lock,2018-02-11T09:00:00Z,1599039
Memory,2018-02-11T09:00:00Z,39283
Network IO,2018-02-11T09:00:00Z,77
OTHER,2018-02-11T09:00:00Z,23902791
Other Disk IO,2018-02-11T09:00:00Z,7769
Parallelism,2018-02-11T09:00:00Z,2077980
Preemptive,2018-02-11T09:00:00Z,59439
Replication,2018-02-11T09:00:00Z,0
SQL CLR,2018-02-11T09:00:00Z,0
Service Broker,2018-02-11T09:00:00Z,0
Tracing,2018-02-11T09:00:00Z,97
Tran Log IO,2018-02-11T09:00:00Z,2314599
Transaction,2018-02-11T09:00:00Z,0
Worker Thread,2018-02-11T09:00:00Z,107
Buffer IO,2018-02-11T10:00:00Z,322640
Buffer Latch,2018-02-11T10:00:00Z,167413
CPU,2018-02-11T10:00:00Z,4118373
Latch,2018-02-11T10:00:00Z,1640
Lock,2018-02-11T10:00:00Z,1202839
Memory,2018-02-11T10:00:00Z,36065
Network IO,2018-02-11T10:00:00Z,47
OTHER,2018-02-11T10:00:00Z,25238591
Other Disk IO,2018-02-11T10:00:00Z,8304
Parallelism,2018-02-11T10:00:00Z,1909287
Preemptive,2018-02-11T10:00:00Z,71526
Replication,2018-02-11T10:00:00Z,0
SQL CLR,2018-02-11T10:00:00Z,0
Service Broker,2018-02-11T10:00:00Z,0
Tracing,2018-02-11T10:00:00Z,259
Tran Log IO,2018-02-11T10:00:00Z,2465130
Transaction,2018-02-11T10:00:00Z,0
Worker Thread,2018-02-11T10:00:00Z,119
Buffer IO,2018-02-11T11:00:00Z,346162
Buffer Latch,2018-02-11T11:00:00Z,148840
CPU,2018-02-11T11:00:00Z,6671891
Latch,2018-02-11T11:00:00Z,13130
Lock,2018-02-11T11:00:00Z,1803402
Memory,2018-02-11T11:00:00Z,52261
Network IO,2018-02-11T11:00:00Z,181
OTHER,2018-02-11T11:00:00Z,27090494
Other Disk IO,2018-02-11T11:00:00Z,6986
Parallelism,2018-02-11T11:00:00Z,6919439
Preemptive,2018-02-11T11:00:00Z,89518
Replication,2018-02-11T11:00:00Z,0
SQL CLR,2018-02-11T11:00:00Z,7
Service Broker,2018-02-11T11:00:00Z,0
Tracing,2018-02-11T11:00:00Z,421
Tran Log IO,2018-02-11T11:00:00Z,1338463
Transaction,2018-02-11T11:00:00Z,0
Worker Thread,2018-02-11T11:00:00Z,0
Buffer IO,2018-02-11T12:00:00Z,51586
Buffer Latch,2018-02-11T12:00:00Z,151420
CPU,2018-02-11T12:00:00Z,5050319
Latch,2018-02-11T12:00:00Z,1900
Lock,2018-02-11T12:00:00Z,1732282
Memory,2018-02-11T12:00:00Z,34130
Network IO,2018-02-11T12:00:00Z,49
OTHER,2018-02-11T12:00:00Z,28195059
Other Disk IO,2018-02-11T12:00:00Z,7410
Parallelism,2018-02-11T12:00:00Z,2111256
Preemptive,2018-02-11T12:00:00Z,86067
Replication,2018-02-11T12:00:00Z,0
SQL CLR,2018-02-11T12:00:00Z,0
Service Broker,2018-02-11T12:00:00Z,0
Tracing,2018-02-11T12:00:00Z,129
Tran Log IO,2018-02-11T12:00:00Z,1046293
Transaction,2018-02-11T12:00:00Z,0
Worker Thread,2018-02-11T12:00:00Z,130
Buffer IO,2018-02-11T13:00:00Z,142612
Buffer Latch,2018-02-11T13:00:00Z,204431
CPU,2018-02-11T13:00:00Z,6776190
Latch,2018-02-11T13:00:00Z,4542
Lock,2018-02-11T13:00:00Z,1925152
Memory,2018-02-11T13:00:00Z,54376
Network IO,2018-02-11T13:00:00Z,94
OTHER,2018-02-11T13:00:00Z,27371544
Other Disk IO,2018-02-11T13:00:00Z,6894
Parallelism,2018-02-11T13:00:00Z,3001036
Preemptive,2018-02-11T13:00:00Z,99962
Replication,2018-02-11T13:00:00Z,0
SQL CLR,2018-02-11T13:00:00Z,0
Service Broker,2018-02-11T13:00:00Z,0
Tracing,2018-02-11T13:00:00Z,364
Tran Log IO,2018-02-11T13:00:00Z,1064751
Transaction,2018-02-11T13:00:00Z,0
Worker Thread,2018-02-11T13:00:00Z,70
Buffer IO,2018-02-11T14:00:00Z,151162
Buffer Latch,2018-02-11T14:00:00Z,165667
CPU,2018-02-11T14:00:00Z,5027419
Latch,2018-02-11T14:00:00Z,729
Lock,2018-02-11T14:00:00Z,1528657
Memory,2018-02-11T14:00:00Z,36262
Network IO,2018-02-11T14:00:00Z,29
OTHER,2018-02-11T14:00:00Z,27535832
Other Disk IO,2018-02-11T14:00:00Z,4204
Parallelism,2018-02-11T14:00:00Z,2196176
Preemptive,2018-02-11T14:00:00Z,78806
Replication,2018-02-11T14:00:00Z,0
SQL CLR,2018-02-11T14:00:00Z,0
Service Broker,2018-02-11T14:00:00Z,0
Tracing,2018-02-11T14:00:00Z,162
Tran Log IO,2018-02-11T14:00:00Z,2115753
Transaction,2018-02-11T14:00:00Z,0
Worker Thread,2018-02-11T14:00:00Z,6
Buffer IO,2018-02-11T15:00:00Z,506870
Buffer Latch,2018-02-11T15:00:00Z,185234
CPU,2018-02-11T15:00:00Z,5890394
Latch,2018-02-11T15:00:00Z,2803
Lock,2018-02-11T15:00:00Z,690613
Memory,2018-02-11T15:00:00Z,54289
Network IO,2018-02-11T15:00:00Z,55
OTHER,2018-02-11T15:00:00Z,26763352
Other Disk IO,2018-02-11T15:00:00Z,53436
Parallelism,2018-02-11T15:00:00Z,2911781
Preemptive,2018-02-11T15:00:00Z,80212
Replication,2018-02-11T15:00:00Z,0
SQL CLR,2018-02-11T15:00:00Z,0
Service Broker,2018-02-11T15:00:00Z,0
Tracing,2018-02-11T15:00:00Z,252
Tran Log IO,2018-02-11T15:00:00Z,2714501
Transaction,2018-02-11T15:00:00Z,0
Worker Thread,2018-02-11T15:00:00Z,66
Buffer IO,2018-02-11T16:00:00Z,483604
Buffer Latch,2018-02-11T16:00:00Z,130614
CPU,2018-02-11T16:00:00Z,3850092
Latch,2018-02-11T16:00:00Z,928
Lock,2018-02-11T16:00:00Z,373342
Memory,2018-02-11T16:00:00Z,48245
Network IO,2018-02-11T16:00:00Z,40
OTHER,2018-02-11T16:00:00Z,26181149
Other Disk IO,2018-02-11T16:00:00Z,15049
Parallelism,2018-02-11T16:00:00Z,2430026
Preemptive,2018-02-11T16:00:00Z,72577
Replication,2018-02-11T16:00:00Z,0
SQL CLR,2018-02-11T16:00:00Z,0
Service Broker,2018-02-11T16:00:00Z,0
Tracing,2018-02-11T16:00:00Z,121
Tran Log IO,2018-02-11T16:00:00Z,2703030
Transaction,2018-02-11T16:00:00Z,0
Worker Thread,2018-02-11T16:00:00Z,12
Buffer IO,2018-02-11T17:00:00Z,621516
Buffer Latch,2018-02-11T17:00:00Z,385082
CPU,2018-02-11T17:00:00Z,5354569
Latch,2018-02-11T17:00:00Z,1907
Lock,2018-02-11T17:00:00Z,386576
Memory,2018-02-11T17:00:00Z,56719
Network IO,2018-02-11T17:00:00Z,20
OTHER,2018-02-11T17:00:00Z,26137905
Other Disk IO,2018-02-11T17:00:00Z,10860
Parallelism,2018-02-11T17:00:00Z,5074182
Preemptive,2018-02-11T17:00:00Z,83109
Replication,2018-02-11T17:00:00Z,0
SQL CLR,2018-02-11T17:00:00Z,0
Service Broker,2018-02-11T17:00:00Z,0
Tracing,2018-02-11T17:00:00Z,579
Tran Log IO,2018-02-11T17:00:00Z,2936954
Transaction,2018-02-11T17:00:00Z,0
Worker Thread,2018-02-11T17:00:00Z,149
Buffer IO,2018-02-11T18:00:00Z,388514
Buffer Latch,2018-02-11T18:00:00Z,166373
CPU,2018-02-11T18:00:00Z,3492407
Latch,2018-02-11T18:00:00Z,1858
Lock,2018-02-11T18:00:00Z,84732
Memory,2018-02-11T18:00:00Z,42364
Network IO,2018-02-11T18:00:00Z,13
OTHER,2018-02-11T18:00:00Z,25688212
Other Disk IO,2018-02-11T18:00:00Z,28536
Parallelism,2018-02-11T18:00:00Z,2848657
Preemptive,2018-02-11T18:00:00Z,71905
Replication,2018-02-11T18:00:00Z,0
SQL CLR,2018-02-11T18:00:00Z,0
Service Broker,2018-02-11T18:00:00Z,0
Tracing,2018-02-11T18:00:00Z,253
Tran Log IO,2018-02-11T18:00:00Z,2542397
Transaction,2018-02-11T18:00:00Z,3000
Worker Thread,2018-02-11T18:00:00Z,2
Buffer IO,2018-02-11T19:00:00Z,489678
Buffer Latch,2018-02-11T19:00:00Z,262931
CPU,2018-02-11T19:00:00Z,5093363
Latch,2018-02-11T19:00:00Z,3070
Lock,2018-02-11T19:00:00Z,114171
Memory,2018-02-11T19:00:00Z,51073
Network IO,2018-02-11T19:00:00Z,34
OTHER,2018-02-11T19:00:00Z,28902176
Other Disk IO,2018-02-11T19:00:00Z,937185
Parallelism,2018-02-11T19:00:00Z,4192583
Preemptive,2018-02-11T19:00:00Z,105678
Replication,2018-02-11T19:00:00Z,0
SQL CLR,2018-02-11T19:00:00Z,0
Service Broker,2018-02-11T19:00:00Z,0
Tracing,2018-02-11T19:00:00Z,412
Tran Log IO,2018-02-11T19:00:00Z,2540381
Transaction,2018-02-11T19:00:00Z,0
Worker Thread,2018-02-11T19:00:00Z,147
Buffer IO,2018-02-11T20:00:00Z,300777
Buffer Latch,2018-02-11T20:00:00Z,223152
CPU,2018-02-11T20:00:00Z,4232457
Latch,2018-02-11T20:00:00Z,3489
Lock,2018-02-11T20:00:00Z,217494
Memory,2018-02-11T20:00:00Z,46509
Network IO,2018-02-11T20:00:00Z,8
OTHER,2018-02-11T20:00:00Z,28426221
Other Disk IO,2018-02-11T20:00:00Z,7875
Parallelism,2018-02-11T20:00:00Z,3633247
Preemptive,2018-02-11T20:00:00Z,100791
Replication,2018-02-11T20:00:00Z,0
SQL CLR,2018-02-11T20:00:00Z,0
Service Broker,2018-02-11T20:00:00Z,0
Tracing,2018-02-11T20:00:00Z,149
Tran Log IO,2018-02-11T20:00:00Z,2162935
Transaction,2018-02-11T20:00:00Z,0
Worker Thread,2018-02-11T20:00:00Z,0
Buffer IO,2018-02-11T21:00:00Z,137839
Buffer Latch,2018-02-11T21:00:00Z,224227
CPU,2018-02-11T21:00:00Z,4251829
Latch,2018-02-11T21:00:00Z,866
Lock,2018-02-11T21:00:00Z,248188
Memory,2018-02-11T21:00:00Z,46965
Network IO,2018-02-11T21:00:00Z,78
OTHER,2018-02-11T21:00:00Z,31375104
Other Disk IO,2018-02-11T21:00:00Z,12931
Parallelism,2018-02-11T21:00:00Z,3804629
Preemptive,2018-02-11T21:00:00Z,131370
Replication,2018-02-11T21:00:00Z,0
SQL CLR,2018-02-11T21:00:00Z,0
Service Broker,2018-02-11T21:00:00Z,0
Tracing,2018-02-11T21:00:00Z,624
Tran Log IO,2018-02-11T21:00:00Z,1385404
Transaction,2018-02-11T21:00:00Z,0
Worker Thread,2018-02-11T21:00:00Z,1
Buffer IO,2018-02-11T22:00:00Z,150163
Buffer Latch,2018-02-11T22:00:00Z,378841
CPU,2018-02-11T22:00:00Z,4209545
Latch,2018-02-11T22:00:00Z,615
Lock,2018-02-11T22:00:00Z,279540
Memory,2018-02-11T22:00:00Z,48383
Network IO,2018-02-11T22:00:00Z,128
OTHER,2018-02-11T22:00:00Z,30773452
Other Disk IO,2018-02-11T22:00:00Z,15286
Parallelism,2018-02-11T22:00:00Z,3850967
Preemptive,2018-02-11T22:00:00Z,124965
Replication,2018-02-11T22:00:00Z,0
SQL CLR,2018-02-11T22:00:00Z,0
Service Broker,2018-02-11T22:00:00Z,0
Tracing,2018-02-11T22:00:00Z,1280
Tran Log IO,2018-02-11T22:00:00Z,1644872
Transaction,2018-02-11T22:00:00Z,0
Worker Thread,2018-02-11T22:00:00Z,0
Buffer IO,2018-02-11T23:00:00Z,90185
Buffer Latch,2018-02-11T23:00:00Z,373576
CPU,2018-02-11T23:00:00Z,4235610
Latch,2018-02-11T23:00:00Z,2469
Lock,2018-02-11T23:00:00Z,257114
Memory,2018-02-11T23:00:00Z,48354
Network IO,2018-02-11T23:00:00Z,367
OTHER,2018-02-11T23:00:00Z,31648824
Other Disk IO,2018-02-11T23:00:00Z,14164
Parallelism,2018-02-11T23:00:00Z,3975675
Preemptive,2018-02-11T23:00:00Z,143168
Replication,2018-02-11T23:00:00Z,0
SQL CLR,2018-02-11T23:00:00Z,0
Service Broker,2018-02-11T23:00:00Z,0
Tracing,2018-02-11T23:00:00Z,257
Tran Log IO,2018-02-11T23:00:00Z,1373591
Transaction,2018-02-11T23:00:00Z,0
Worker Thread,2018-02-11T23:00:00Z,89
Buffer IO,2018-02-12T00:00:00Z,201617
Buffer Latch,2018-02-12T00:00:00Z,404544
CPU,2018-02-12T00:00:00Z,4254048
Latch,2018-02-12T00:00:00Z,3791
Lock,2018-02-12T00:00:00Z,225458
Memory,2018-02-12T00:00:00Z,48515
Network IO,2018-02-12T00:00:00Z,105
OTHER,2018-02-12T00:00:00Z,30625554
Other Disk IO,2018-02-12T00:00:00Z,6294
Parallelism,2018-02-12T00:00:00Z,3036104
Preemptive,2018-02-12T00:00:00Z,132489
Replication,2018-02-12T00:00:00Z,0
SQL CLR,2018-02-12T00:00:00Z,0
Service Broker,2018-02-12T00:00:00Z,0
Tracing,2018-02-12T00:00:00Z,291
Tran Log IO,2018-02-12T00:00:00Z,1858277
Transaction,2018-02-12T00:00:00Z,0
Worker Thread,2018-02-12T00:00:00Z,11
Buffer IO,2018-02-12T01:00:00Z,147675
Buffer Latch,2018-02-12T01:00:00Z,448196
CPU,2018-02-12T01:00:00Z,4163088
Latch,2018-02-12T01:00:00Z,2604
Lock,2018-02-12T01:00:00Z,211988
Memory,2018-02-12T01:00:00Z,50970
Network IO,2018-02-12T01:00:00Z,178
OTHER,2018-02-12T01:00:00Z,31322604
Other Disk IO,2018-02-12T01:00:00Z,7239
Parallelism,2018-02-12T01:00:00Z,2625499
Preemptive,2018-02-12T01:00:00Z,125189
Replication,2018-02-12T01:00:00Z,0
SQL CLR,2018-02-12T01:00:00Z,0
Service Broker,2018-02-12T01:00:00Z,0
Tracing,2018-02-12T01:00:00Z,260
Tran Log IO,2018-02-12T01:00:00Z,1532025
Transaction,2018-02-12T01:00:00Z,0
Worker Thread,2018-02-12T01:00:00Z,1
Buffer IO,2018-02-12T02:00:00Z,85399
Buffer Latch,2018-02-12T02:00:00Z,496257
CPU,2018-02-12T02:00:00Z,4065247
Latch,2018-02-12T02:00:00Z,1717
Lock,2018-02-12T02:00:00Z,351881
Memory,2018-02-12T02:00:00Z,53115
Network IO,2018-02-12T02:00:00Z,170
OTHER,2018-02-12T02:00:00Z,31676863
Other Disk IO,2018-02-12T02:00:00Z,13408
Parallelism,2018-02-12T02:00:00Z,2537110
Preemptive,2018-02-12T02:00:00Z,117423
Replication,2018-02-12T02:00:00Z,0
SQL CLR,2018-02-12T02:00:00Z,0
Service Broker,2018-02-12T02:00:00Z,0
Tracing,2018-02-12T02:00:00Z,63
Tran Log IO,2018-02-12T02:00:00Z,1252930
Transaction,2018-02-12T02:00:00Z,0
Worker Thread,2018-02-12T02:00:00Z,0
Buffer IO,2018-02-12T03:00:00Z,150489
Buffer Latch,2018-02-12T03:00:00Z,470987
CPU,2018-02-12T03:00:00Z,4196718
Latch,2018-02-12T03:00:00Z,2334
Lock,2018-02-12T03:00:00Z,441102
Memory,2018-02-12T03:00:00Z,50233
Network IO,2018-02-12T03:00:00Z,85
OTHER,2018-02-12T03:00:00Z,30619425
Other Disk IO,2018-02-12T03:00:00Z,10393
Parallelism,2018-02-12T03:00:00Z,2346630
Preemptive,2018-02-12T03:00:00Z,112845
Replication,2018-02-12T03:00:00Z,0
SQL CLR,2018-02-12T03:00:00Z,0
Service Broker,2018-02-12T03:00:00Z,0
Tracing,2018-02-12T03:00:00Z,399
Tran Log IO,2018-02-12T03:00:00Z,1421235
Transaction,2018-02-12T03:00:00Z,0
Worker Thread,2018-02-12T03:00:00Z,28
Buffer IO,2018-02-12T04:00:00Z,247207
Buffer Latch,2018-02-12T04:00:00Z,293098
CPU,2018-02-12T04:00:00Z,4593214
Latch,2018-02-12T04:00:00Z,5042
Lock,2018-02-12T04:00:00Z,586881
Memory,2018-02-12T04:00:00Z,48748
Network IO,2018-02-12T04:00:00Z,26
OTHER,2018-02-12T04:00:00Z,28930911
Other Disk IO,2018-02-12T04:00:00Z,8109
Parallelism,2018-02-12T04:00:00Z,2466166
Preemptive,2018-02-12T04:00:00Z,123886
Replication,2018-02-12T04:00:00Z,0
SQL CLR,2018-02-12T04:00:00Z,0
Service Broker,2018-02-12T04:00:00Z,0
Tracing,2018-02-12T04:00:00Z,521
Tran Log IO,2018-02-12T04:00:00Z,1716981
Transaction,2018-02-12T04:00:00Z,0
Worker Thread,2018-02-12T04:00:00Z,0
Buffer IO,2018-02-12T05:00:00Z,709929
Buffer Latch,2018-02-12T05:00:00Z,422556
CPU,2018-02-12T05:00:00Z,5877499
Latch,2018-02-12T05:00:00Z,509505
Lock,2018-02-12T05:00:00Z,623645
Memory,2018-02-12T05:00:00Z,52056
Network IO,2018-02-12T05:00:00Z,34
OTHER,2018-02-12T05:00:00Z,29147652
Other Disk IO,2018-02-12T05:00:00Z,278957
Parallelism,2018-02-12T05:00:00Z,2983318
Preemptive,2018-02-12T05:00:00Z,120702
Replication,2018-02-12T05:00:00Z,0
SQL CLR,2018-02-12T05:00:00Z,0
Service Broker,2018-02-12T05:00:00Z,0
Tracing,2018-02-12T05:00:00Z,857
Tran Log IO,2018-02-12T05:00:00Z,2710980
Transaction,2018-02-12T05:00:00Z,0
Worker Thread,2018-02-12T05:00:00Z,171
Buffer IO,2018-02-12T06:00:00Z,368126
Buffer Latch,2018-02-12T06:00:00Z,363457
CPU,2018-02-12T06:00:00Z,5133276
Latch,2018-02-12T06:00:00Z,7095
Lock,2018-02-12T06:00:00Z,427747
Memory,2018-02-12T06:00:00Z,46799
Network IO,2018-02-12T06:00:00Z,126
OTHER,2018-02-12T06:00:00Z,29328938
Other Disk IO,2018-02-12T06:00:00Z,336932
Parallelism,2018-02-12T06:00:00Z,2801704
Preemptive,2018-02-12T06:00:00Z,138250
Replication,2018-02-12T06:00:00Z,0
SQL CLR,2018-02-12T06:00:00Z,0
Service Broker,2018-02-12T06:00:00Z,0
Tracing,2018-02-12T06:00:00Z,478
Tran Log IO,2018-02-12T06:00:00Z,1903370
Transaction,2018-02-12T06:00:00Z,0
Worker Thread,2018-02-12T06:00:00Z,57
Buffer IO,2018-02-12T07:00:00Z,142440
Buffer Latch,2018-02-12T07:00:00Z,456815
CPU,2018-02-12T07:00:00Z,4882587
Latch,2018-02-12T07:00:00Z,1915
Lock,2018-02-12T07:00:00Z,439123
Memory,2018-02-12T07:00:00Z,49339
Network IO,2018-02-12T07:00:00Z,51
OTHER,2018-02-12T07:00:00Z,29885661
Other Disk IO,2018-02-12T07:00:00Z,17048
Parallelism,2018-02-12T07:00:00Z,2712500
Preemptive,2018-02-12T07:00:00Z,134793
Replication,2018-02-12T07:00:00Z,0
SQL CLR,2018-02-12T07:00:00Z,0
Service Broker,2018-02-12T07:00:00Z,0
Tracing,2018-02-12T07:00:00Z,843
Tran Log IO,2018-02-12T07:00:00Z,1598977
Transaction,2018-02-12T07:00:00Z,0
Worker Thread,2018-02-12T07:00:00Z,324
Buffer IO,2018-02-12T08:00:00Z,414848
Buffer Latch,2018-02-12T08:00:00Z,165149
CPU,2018-02-12T08:00:00Z,3988883
Latch,2018-02-12T08:00:00Z,1513
Lock,2018-02-12T08:00:00Z,95954
Memory,2018-02-12T08:00:00Z,55983
Network IO,2018-02-12T08:00:00Z,55
OTHER,2018-02-12T08:00:00Z,26714154
Other Disk IO,2018-02-12T08:00:00Z,8634
Parallelism,2018-02-12T08:00:00Z,2172201
Preemptive,2018-02-12T08:00:00Z,88990
Replication,2018-02-12T08:00:00Z,0
SQL CLR,2018-02-12T08:00:00Z,0
Service Broker,2018-02-12T08:00:00Z,0
Tracing,2018-02-12T08:00:00Z,509
Tran Log IO,2018-02-12T08:00:00Z,2732952
Transaction,2018-02-12T08:00:00Z,0
Worker Thread,2018-02-12T08:00:00Z,266
Buffer IO,2018-02-12T09:00:00Z,323607
Buffer Latch,2018-02-12T09:00:00Z,214037
CPU,2018-02-12T09:00:00Z,3156902
Latch,2018-02-12T09:00:00Z,2212
Lock,2018-02-12T09:00:00Z,85790
Memory,2018-02-12T09:00:00Z,43905
Network IO,2018-02-12T09:00:00Z,82
OTHER,2018-02-12T09:00:00Z,25143768
Other Disk IO,2018-02-12T09:00:00Z,11199
Parallelism,2018-02-12T09:00:00Z,1774133
Preemptive,2018-02-12T09:00:00Z,69653
Replication,2018-02-12T09:00:00Z,0
SQL CLR,2018-02-12T09:00:00Z,0
Service Broker,2018-02-12T09:00:00Z,0
Tracing,2018-02-12T09:00:00Z,262
Tran Log IO,2018-02-12T09:00:00Z,1799253
Transaction,2018-02-12T09:00:00Z,3007
Worker Thread,2018-02-12T09:00:00Z,5
Buffer IO,2018-02-12T10:00:00Z,268729
Buffer Latch,2018-02-12T10:00:00Z,143800
CPU,2018-02-12T10:00:00Z,3114257
Latch,2018-02-12T10:00:00Z,4336
Lock,2018-02-12T10:00:00Z,51840
Memory,2018-02-12T10:00:00Z,50201
Network IO,2018-02-12T10:00:00Z,94
OTHER,2018-02-12T10:00:00Z,24864939
Other Disk IO,2018-02-12T10:00:00Z,10831
Parallelism,2018-02-12T10:00:00Z,1862207
Preemptive,2018-02-12T10:00:00Z,68012
Replication,2018-02-12T10:00:00Z,0
SQL CLR,2018-02-12T10:00:00Z,0
Service Broker,2018-02-12T10:00:00Z,0
Tracing,2018-02-12T10:00:00Z,663
Tran Log IO,2018-02-12T10:00:00Z,1556933
Transaction,2018-02-12T10:00:00Z,0
Worker Thread,2018-02-12T10:00:00Z,178
Buffer IO,2018-02-12T11:00:00Z,556740
Buffer Latch,2018-02-12T11:00:00Z,274654
CPU,2018-02-12T11:00:00Z,4891391
Latch,2018-02-12T11:00:00Z,13416
Lock,2018-02-12T11:00:00Z,79407
Memory,2018-02-12T11:00:00Z,61561
Network IO,2018-02-12T11:00:00Z,60
OTHER,2018-02-12T11:00:00Z,26040963
Other Disk IO,2018-02-12T11:00:00Z,8219
Parallelism,2018-02-12T11:00:00Z,6025329
Preemptive,2018-02-12T11:00:00Z,79006
Replication,2018-02-12T11:00:00Z,0
SQL CLR,2018-02-12T11:00:00Z,0
Service Broker,2018-02-12T11:00:00Z,0
Tracing,2018-02-12T11:00:00Z,379
Tran Log IO,2018-02-12T11:00:00Z,2324129
Transaction,2018-02-12T11:00:00Z,0
Worker Thread,2018-02-12T11:00:00Z,27
Buffer IO,2018-02-12T12:00:00Z,360749
Buffer Latch,2018-02-12T12:00:00Z,183675
CPU,2018-02-12T12:00:00Z,3289330
Latch,2018-02-12T12:00:00Z,1195
Lock,2018-02-12T12:00:00Z,136036
Memory,2018-02-12T12:00:00Z,53345
Network IO,2018-02-12T12:00:00Z,62
OTHER,2018-02-12T12:00:00Z,25215192
Other Disk IO,2018-02-12T12:00:00Z,9848
Parallelism,2018-02-12T12:00:00Z,2001136
Preemptive,2018-02-12T12:00:00Z,67065
